Symbol,FrontendSignal,FinalRating,Confidence,CompositeScoreV2,TechnicalScore,MLScore,GRUScore,ReliabilityScore
ADANIENT.NS,STRONG BUY,STRONG BUY,100.0,65.37781012582779,100.0,-8.129999999999999,-2.6845991611480717,80
ADANIPORTS.NS,STRONG BUY,STRONG BUY,77.35,61.81578817701339,94.36,-10.900000000000002,-0.5014121532440186,70
COALINDIA.NS,STRONG BUY,STRONG BUY,77.76,50.13225521243662,79.84,2.530000000000001,-6.718945503234863,80
HINDALCO.NS,STRONG BUY,STRONG BUY,96.39,49.16523462473748,74.7,-1.2699999999999996,-6.092590093612671,60
GRASIM.NS,STRONG BUY,STRONG BUY,100.0,41.58959137208033,60.62,-0.6400000000000006,-4.690238833427429,70
APOLLOHOSP.NS,BUY,BUY,100.0,41.489034337951125,61.18,-10.419999999999998,-0.4419505596160888,70
ASIANPAINT.NS,BUY,BUY,93.66,38.62174322816013,51.56,3.2799999999999976,-4.401522874832153,70
BAJAJ-AUTO.NS,BUY,BUY,100.0,38.133175005064025,58.56,-8.41,0.0228285789489746,60
JSWSTEEL.NS,BUY,BUY,83.17,31.57777750080845,46.57,3.8500000000000014,-6.38197660446167,60
CIPLA.NS,BUY,BUY,81.32,24.89182021021001,26.42,11.06,-12.037771940231323,70
TITAN.NS,BUY,BUY,71.98,24.036549095651147,26.88,-16.64,0.0,70
TECHM.NS,BUY,BUY,49.46,21.95492436682212,32.1,-11.88,0.691649317741394,70
INDUSINDBK.NS,BUY,BUY,79.95,19.82140178790098,26.3,-0.8500000000000014,-9.275035560131071,60
TATASTEEL.NS,BUY,BUY,68.51,18.122678183041124,18.87,6.629999999999999,-7.180511951446533,50
ETERNAL.NS,BUY,BUY,48.94,16.242911986488533,10.87,4.219999999999999,-9.52211618423462,80
NESTLEIND.NS,HOLD,HOLD,94.61,16.083353934933122,13.74,-1.3299999999999983,-1.2232929468154907,50
LT.NS,HOLD,HOLD,100.0,15.698492979717408,13.08,4.979999999999999,-3.744634985923767,60
EICHERMOT.NS,HOLD,HOLD,86.74,6.529004876319101,7.98,-10.670000000000002,-24.842658638954163,60
SUNPHARMA.NS,HOLD,HOLD,96.54,0.7922685852257167,-13.78,-8.819999999999999,-4.006370902061462,50
SBIN.NS,HOLD,HOLD,100.0,0.4634113044971002,-12.88,-6.6,-10.348880290985107,60
AXISBANK.NS,HOLD,HOLD,75.65,-0.3821765005470983,-22.04,-1.75,-2.187281847000122,50
SHRIRAMFIN.NS,HOLD,HOLD,92.29,-2.6480893513767825,-21.06,-9.67,-1.6913443803787231,50
DRREDDY.NS,HOLD,HOLD,87.48,-4.864095272705992,-27.07,-6.449999999999999,-7.243087887763977,50
ICICIBANK.NS,HOLD,HOLD,79.6,-7.25730525091862,-31.8,-3.0500000000000007,-4.344406723976135,60
WIPRO.NS,HOLD,HOLD,46.98,-9.301985984559424,-37.53,15.700000000000005,1.2722551822662354,70
KOTAKBANK.NS,HOLD,HOLD,69.11,-9.993406771301409,-37.88,3.2799999999999976,-5.500772595405579,60
