Ticker,Provider,Latest_Close,Latest_Date,Volume,Validation_Result,Issues_Found
HCLTECH,yfinance,1158.4,2026-07-08,1680574,PASSED,None
RELIANCE,yfinance,1290.6,2026-07-08,11390200,PASSED,None
TCS,yfinance,2080.5,2026-07-08,1974382,PASSED,None
INFY,yfinance,1072.6,2026-07-08,5294125,PASSED,None
ICICIBANK,yfinance,1396.8,2026-07-08,5077193,PASSED,None
HDFCBANK,yfinance,827.05,2026-07-08,19156655,PASSED,None
LT,yfinance,3974.3,2026-07-08,732621,PASSED,None
ITC,yfinance,284.0,2026-07-08,13063770,PASSED,None
SBIN,yfinance,1037.5,2026-07-08,6809486,PASSED,None
BHARTIARTL,yfinance,1893.2,2026-07-08,2829716,PASSED,None
